"country","year","vessel.length","species","regulated.gear","fishing.tech","fleets","age","type","value"
"OTH",2013,"O10M","COD","TR1","DTS","OTH_DTS_O10M","age0","d",0.001
"OTH",2013,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0.251
"OTH",2013,"O10M","HAD","TR1","DTS","OTH_DTS_O10M","age0","d",466.955
"OTH",2013,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",40.757
"OTH",2013,"O10M","WHG","TR1","DTS","OTH_DTS_O10M","age0","d",19.569
"OTH",2013,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",18.221
"OTH",2014,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2014,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",0.402
"OTH",2014,"O10M","WHG","TR1","DTS","OTH_DTS_O10M","age0","d",0.117
"OTH",2014,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",0.36
"OTH",2015,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2015,"O10M","HAD","TR1","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2015,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",0.012
"OTH",2015,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",1.681
"OTH",2016,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age0","d",0
"OTH",2016,"O10M","HAD","TR2","DTS","OTH_DTS_O10M","age0","d",8.855
"OTH",2016,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age0","d",0.074
"GBR",2003,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2003,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2003,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",40.068
"GBR",2003,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",267.229
"GBR",2003,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",10.487
"GBR",2003,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",644.825
"GBR",2004,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2004,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2004,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",7.566
"GBR",2004,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",45.934
"GBR",2004,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",9.612
"GBR",2004,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",4065.714
"GBR",2005,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2005,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2005,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",8.872
"GBR",2005,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",83.723
"GBR",2005,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",7.807
"GBR",2005,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",53.307
"GBR",2006,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2006,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2006,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",14.586
"GBR",2006,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",185.548
"GBR",2006,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2006,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",151.823
"GBR",2007,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2007,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2007,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",18.617
"GBR",2007,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",124.653
"GBR",2007,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",2.637
"GBR",2007,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",27.6
"GBR",2008,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2008,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2008,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",41.447
"GBR",2008,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",84.536
"GBR",2008,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",3.612
"GBR",2008,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",478.531
"GBR",2009,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",2.382
"GBR",2009,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",1.733
"GBR",2009,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",356.029
"GBR",2009,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",182.496
"GBR",2009,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",159.399
"GBR",2009,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",110.199
"GBR",2010,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0.747
"GBR",2010,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",2.755
"GBR",2010,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",25.879
"GBR",2010,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",14.077
"GBR",2010,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",0.581
"GBR",2010,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",15.56
"GBR",2011,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2011,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2011,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",85.997
"GBR",2011,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",14.482
"GBR",2011,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",119.136
"GBR",2011,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",199.656
"GBR",2012,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2012,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2012,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2012,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",0.025
"GBR",2012,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",0.07
"GBR",2012,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",2.559
"GBR",2013,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0.172
"GBR",2013,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",0.446
"GBR",2013,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",132.691
"GBR",2013,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",165.576
"GBR",2013,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",7.052
"GBR",2013,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",39.757
"GBR",2014,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2014,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2014,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",1.251
"GBR",2014,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",2.32
"GBR",2014,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",1.261
"GBR",2014,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",3.365
"GBR",2015,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2015,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2015,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",0.023
"GBR",2015,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",0.059
"GBR",2015,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",17.093
"GBR",2015,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",23.602
"GBR",2016,"O10M","COD","TR1","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2016,"O10M","COD","TR2","DTS","GBR_DTS_O10M","age0","d",0
"GBR",2016,"O10M","HAD","TR1","DTS","GBR_DTS_O10M","age0","d",322.154
"GBR",2016,"O10M","HAD","TR2","DTS","GBR_DTS_O10M","age0","d",203.896
"GBR",2016,"O10M","WHG","TR1","DTS","GBR_DTS_O10M","age0","d",0.169
"GBR",2016,"O10M","WHG","TR2","DTS","GBR_DTS_O10M","age0","d",0.76
"FRA",2003,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2003,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2003,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",210.739
"FRA",2003,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",1458.529
"FRA",2003,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",80.197
"FRA",2003,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",1211.487
"FRA",2004,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2004,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2004,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",59.739
"FRA",2004,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",564.21
"FRA",2004,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",56.465
"FRA",2004,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",3083.486
"FRA",2005,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2005,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2005,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",80.058
"FRA",2005,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",440.619
"FRA",2005,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",44.624
"FRA",2005,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",329.183
"FRA",2006,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2006,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2006,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",98.092
"FRA",2006,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",771.698
"FRA",2006,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",0.003
"FRA",2006,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",255.723
"FRA",2007,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2007,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2007,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",76.655
"FRA",2007,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",505.462
"FRA",2007,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",19.189
"FRA",2007,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",335.39
"FRA",2008,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2008,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2008,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",71.415
"FRA",2008,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",306.7
"FRA",2008,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",13.59
"FRA",2008,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",1179.582
"FRA",2009,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",11.881
"FRA",2009,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",3.435
"FRA",2009,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",3571.697
"FRA",2009,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",747.024
"FRA",2009,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",1753.551
"FRA",2009,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",556.749
"FRA",2010,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",20.463
"FRA",2010,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",6.267
"FRA",2010,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",269.533
"FRA",2010,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",68.344
"FRA",2010,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",11.505
"FRA",2010,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",20.256
"FRA",2011,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2011,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2011,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",426.755
"FRA",2011,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",100.076
"FRA",2011,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",1252.298
"FRA",2011,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",324.694
"FRA",2012,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2012,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2012,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2012,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",0.359
"FRA",2012,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",0.926
"FRA",2012,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",7.109
"FRA",2013,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",5.514
"FRA",2013,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",1.862
"FRA",2013,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",789.574
"FRA",2013,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",359.984
"FRA",2013,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",61.174
"FRA",2013,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",89.88
"FRA",2014,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2014,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2014,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",15.205
"FRA",2014,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",9.044
"FRA",2014,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",9.591
"FRA",2014,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",18.038
"FRA",2015,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2015,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2015,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",0.158
"FRA",2015,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",0.582
"FRA",2015,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",72.075
"FRA",2015,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",121.562
"FRA",2016,"O10M","COD","TR1","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2016,"O10M","COD","TR2","DTS","FRA_DTS_O10M","age0","d",0
"FRA",2016,"O10M","HAD","TR1","DTS","FRA_DTS_O10M","age0","d",2477.069
"FRA",2016,"O10M","HAD","TR2","DTS","FRA_DTS_O10M","age0","d",695.37
"FRA",2016,"O10M","WHG","TR1","DTS","FRA_DTS_O10M","age0","d",1.937
"FRA",2016,"O10M","WHG","TR2","DTS","FRA_DTS_O10M","age0","d",5.03
"IRL",2003,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2003,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2003,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",1508.814
"IRL",2003,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",4371.591
"IRL",2003,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",669.989
"IRL",2003,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",2404.975
"IRL",2004,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2004,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2004,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",565.99
"IRL",2004,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",1870.962
"IRL",2004,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",855
"IRL",2004,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",7278.712
"IRL",2005,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2005,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2005,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",858.038
"IRL",2005,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",2175.918
"IRL",2005,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",696.038
"IRL",2005,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",1116.963
"IRL",2006,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2006,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2006,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",689.597
"IRL",2006,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",2877.073
"IRL",2006,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",0.045
"IRL",2006,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",785.7
"IRL",2007,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2007,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2007,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",492.773
"IRL",2007,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",1254.022
"IRL",2007,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",346.506
"IRL",2007,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",989.038
"IRL",2008,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2008,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2008,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",441.822
"IRL",2008,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",735.985
"IRL",2008,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",152.796
"IRL",2008,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",882.48
"IRL",2009,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",11.458
"IRL",2009,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",5.465
"IRL",2009,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",2065.687
"IRL",2009,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",2391.378
"IRL",2009,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",1694.71
"IRL",2009,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",535.592
"IRL",2010,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",9.499
"IRL",2010,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",7.44
"IRL",2010,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",102.703
"IRL",2010,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",116.462
"IRL",2010,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",13.185
"IRL",2010,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",34.755
"IRL",2011,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2011,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2011,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",227.571
"IRL",2011,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",121.327
"IRL",2011,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",1151.489
"IRL",2011,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",519.843
"IRL",2012,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2012,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2012,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2012,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",0.181
"IRL",2012,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",1.046
"IRL",2012,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",7.265
"IRL",2013,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",1.279
"IRL",2013,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",2.319
"IRL",2013,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",131.875
"IRL",2013,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",632.769
"IRL",2013,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",82.094
"IRL",2013,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",169.002
"IRL",2014,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2014,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2014,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",6.203
"IRL",2014,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",4.175
"IRL",2014,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",11.139
"IRL",2014,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",12.766
"IRL",2015,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2015,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2015,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",0.151
"IRL",2015,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",0.436
"IRL",2015,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",227.561
"IRL",2015,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",72.841
"IRL",2016,"O10M","COD","TR1","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2016,"O10M","COD","TR2","DTS","IRL_DTS_O10M","age0","d",0
"IRL",2016,"O10M","HAD","TR1","DTS","IRL_DTS_O10M","age0","d",747.543
"IRL",2016,"O10M","HAD","TR2","DTS","IRL_DTS_O10M","age0","d",729.88
"IRL",2016,"O10M","WHG","TR1","DTS","IRL_DTS_O10M","age0","d",5.088
"IRL",2016,"O10M","WHG","TR2","DTS","IRL_DTS_O10M","age0","d",5.678
"OTH",2003,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age1","d",0.001
"OTH",2003,"O10M","WHG","TR2","DTS","OTH_DTS_O10M","age1","d",14.241
"OTH",2004,"O10M","COD","TR2","DTS","OTH_DTS_O10M","age1","d",0.879
